verse,line,category,source,text
29,9,Commentary,Ramban on Deuteronomy 29:9:1,"YE ARE STANDING THIS DAY ALL OF YOU BEFORE THE ETERNAL YOUR G-D. The meaning thereof is that you are standing and ready before G-d to be initiated into His covenant. For, in order to accept the Torah with its interpretation, they had gathered before him [Moses], or they may have stood before the ark of G-d. The covenant was the oath and imprecation which he mentioned — that thou shouldest enter into the covenant of the Eternal thy G-d, and into His oath. (Verse 11.)  It is possible that he made another covenant with them like the first covenant which he made with them at Mount Sinai, (Exodus 24:4-5.)  namely, that he offered a burnt-offering on their behalf, and took half of the blood to sprinkle upon the altar and he sprinkled half of the blood upon the people, but it was unnecessary for him to mention this. And by way of the Truth, [the mystic teachings of the Cabala], I have already informed you of [the secret of] this covenant. (See Ramban to Leviticus 26:12.) "
29,9,Commentary,Rashi on Deuteronomy 29:9:1,"אתם נצבים YE ARE STANDING THIS DAY [ALL OF YOU BEFORE THE LORD] — This teaches that Moses assembled them in the presence of the Omnipresent on the day of his death, in order to initiate them into a covenant with Him."
29,9,Commentary,Rashi on Deuteronomy 29:9:2,ראשיכם שבטיכם means as much as ראשיכם לשבטיכם YOUR HEADS OF YOUR TRIBES.
29,9,Commentary,Rashi on Deuteronomy 29:9:3,"זקניכם ושטריכם YOUR ELDERS AND YOUR OFFICERS — The more prominent were in front (i.e. they stood before the Lord in the order of their rank), and afterwards: “all the men of Israel”."
29,9,Commentary,Ibn Ezra on Deuteronomy 29:9:1,YE ARE STANDING THIS DAY. Around the ark.
29,9,Commentary,Ibn Ezra on Deuteronomy 29:9:2,"YOUR HEADS. Roshekhem (your heads) is similar to haohelah (the tent) in into the tent Sarah his mother (Gen. 24:67) (Translated literally. According to I. E. into the tent Sarah his mother is short for into the tent, the tent of Sarah his mother. Similarly, your heads is short for your heads the heads of. See I.E. on Gen. 24:67 (Vol. 1, p. 243).)  and even the prophecy, Odad the prophet (Translated literally.)  (II Chron. 15:8). (According to I.E. even the prophecy, Odad the prophet is short for even the prophecy, the prophecy of Odad the prophet. See I.E. on Gen. 24:67 (Vol. 1, p. 243).)  Roshekhem shivtekhem (your heads, your tribes) is to be interpreted as your heads, who are the heads of your tribes. (Roshekhem shivtekhem is short for roshekhem roshe shivtekhem.)  Roshekhem (your heads) is like the word va-niram (we have shot at them) (Num. 21:30). (Num. 21:30 reads, va-niram avad cheshbon (we have shot at them, Heshbon is destroyed). According to I.E. this is to be interpreted as And their king, the king of Heshbon was destroyed. See I.E. on Num. 21:30 (Vol. 4, p. 175).)  The word is to be so interpreted for the princes (The heads of the tribes.)  were closest to the ark. (According to I.E. our verse records the hierarchical arrangement of the Israelites before the ark, when the covenant was made. If we take our verse literally the word “tribes” breaks up the arrangement. Hence I.E. insists that our verse reads, your heads, the heads of your tribes.)  After them came the elders, followed by the officers, after whom came all the men of Israel, that is, the males, followed by the male little ones, after whom came the women, followed by the strangers."
29,9,Targum,Onkelos Deuteronomy 29:9,"‘‘You stand, this day all of you before Adonoy, your God; your tribal chieftains, your elders and your law officers, every man of Yisroel."
29,9,Targum,Targum Jonathan on Deuteronomy 29:9,"MOSHEH the prophet said: I have called you not in secret, but while standing this day all of you before the Lord your God; the princes of your sanhedrin, the chiefs of your tribes, your elders and your officers, all men of Israel, 
"
29,9,Mishnah,Mishnah Makkot 3:14,"and the court crier recites the verses: “If you do not observe to perform all the words of this law that are written in this book, that you may fear this glorious and awesome name, the Lord your God. And the Lord will make your plagues [makkotekha] outstanding, and the plagues of your descendants, and even great plagues, and of long continuance, and severe sicknesses, and of long continuance” (Deuteronomy 28:58–59). And then he returns to the beginning of the verse. He also recites: “And you shall observe the matters of this covenant, and do them, that you may make all that you do to prosper” (Deuteronomy 29:8), and concludes with the verse: “And He is merciful and shall atone for transgression, and destroys not; and many a time does He turn His anger away, and does not stir up all His wrath” (Psalms 78:38), and then returns to the beginning of the verse that starts: “If you do not observe to perform.” If the one being flogged dies at the hand of the attendant, the latter is exempt, because he acted at the directive of the court. If the attendant added for him an additional lash with a strap and he died, the attendant is exiled to a city of refuge on his account, as an unwitting murderer. If the one being flogged involuntarily sullies himself, due to fear or pain, whether with excrement or with urine, he is exempt from further lashes. Rabbi Yehuda says that the threshold of shame for men and women is different: The man is exempted if he sullies himself with excrement, and the woman is exempted even with urine. "
29,9,Commentary,Or HaChaim on Deuteronomy 29:9:1,"אתם נצבים היום, ""You are standing today, etc."" We have to analyse what these words are meant to tell us. Besides, why did Moses have to single out ראשיכם, טפכם, ""your heads and your children,"" and did not simply say כלכם, ""all of you?"" Moreover, what was the reason for this covenant? Just a few lines ago (28,69) Moses had written: ""these are the words of the covenant, etc."" If Moses was anxious to include what is written in this portion in the covenant, he should have written this chapter sooner and everything would have been included in what are described as ""the words of the covenant in 28,69."" "
29,9,Commentary,Rashbam on Deuteronomy 29:9:1,"אתם נצבים היום כולכם, as we know from verse 1:'ויקרא משה את כל ישראל וגו "
